TOKEN	DiagnosticDevice	DischargeRegime	ElectrodeConfiguration	ElectrodeMaterial	Experiment	Modelling	PhysicalEffect	PhysicalQuantity	PlasmaApplication	PlasmaMedium	PlasmaProperties	PlasmaSource	PlasmaTarget	Unit	PowerSupply	Species

Abstract	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
Theoretical	O	O	O	O	O	B-Modelling	O	O	I-PlasmaApplication	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
experimental	O	O	O	O	B-Experiment	O	O	O	B-PlasmaApplication	O	O	O	O	O	O	O
studies	O	O	O	O	I-Experiment	O	O	O	I-PlasmaApplication	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
two	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
different	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
discharge	O	B-DischargeRegime	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
modes	O	I-DischargeRegime	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
asymmetric	O	O	B-ElectrodeConfiguration	O	O	O	O	O	O	O	O	O	O	O	B-PowerSupply	O
dielectric	O	O	I-ElectrodeConfiguration	O	O	O	O	O	O	O	O	B-PlasmaSource	O	O	O	O
barrier	O	O	I-ElectrodeConfiguration	O	O	O	O	O	O	O	O	I-PlasmaSource	O	O	O	O
discharges	O	O	O	O	O	O	O	O	O	O	O	I-PlasmaSource	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
argon	O	O	O	O	O	O	O	O	O	B-PlasmaMedium	O	O	O	O	O	B-Species
at	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
atmospheric	O	O	O	O	O	O	O	O	O	O	B-PlasmaProperties	O	O	O	O	O
pressure	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	I-PlasmaProperties	O	O	O	O	O
have	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
been	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
performed.	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O

The	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
first	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
mode	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
appears	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
be	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
well-known	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
filamentary	O	B-DischargeRegime	O	O	O	O	O	O	O	O	O	O	O	O	O	O
microdischarge	O	I-DischargeRegime	O	O	O	O	O	O	O	O	O	B-PlasmaSource	O	O	O	O
with	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
non-striated	O	O	O	O	O	O	O	O	O	O	B-PlasmaProperties	O	O	O	O	O
positive	O	O	O	O	O	O	O	O	O	O	B-PlasmaProperties	O	O	O	O	O
column	O	O	O	O	O	O	O	O	O	O	I-PlasmaProperties	O	O	O	O	O
whereas	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
second	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
mode	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
characterized	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
by	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
discharge	O	O	O	O	O	O	B-PhysicalEffect	B-PhysicalQuantity	O	O	B-PlasmaProperties	O	O	O	O	O
instabilities	O	O	O	O	O	O	I-PhysicalEffect	I-PhysicalQuantity	O	O	I-PlasmaProperties	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
appearance	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
striations.	O	O	O	O	O	O	O	O	B-PlasmaApplication	O	B-PlasmaProperties	O	O	O	O	O

Both	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
experiment	O	O	O	O	B-Experiment	O	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
model	O	O	O	O	O	B-Modelling	O	O	B-PlasmaApplication	O	O	O	O	O	O	O
calculations	O	O	O	O	O	I-Modelling	O	O	O	O	O	O	O	O	O	O
predict	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
transition	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
from	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
first	O	B-DischargeRegime	O	O	O	O	O	O	O	O	O	O	O	O	O	O
mode	O	I-DischargeRegime	O	O	O	O	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
second	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
mode	O	I-DischargeRegime	O	O	O	O	O	O	O	O	O	O	O	O	O	O
when	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
applied	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	O	O	O	O	B-PowerSupply	O
voltage	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	I-PowerSupply	O
amplitude	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	I-PowerSupply	O
is	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
increased	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
