TOKEN	DiagnosticDevice	DischargeRegime	ElectrodeConfiguration	ElectrodeMaterial	Experiment	Modelling	PhysicalEffect	PhysicalQuantity	PlasmaApplication	PlasmaMedium	PlasmaProperties	PlasmaSource	PlasmaTarget	Unit	PowerSupply	Species

Abstract	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
Dielectric-barrier	O	O	O	O	O	O	O	O	O	O	O	B-PlasmaSource	O	O	O	O
discharges	O	O	O	O	O	O	O	O	O	O	O	I-PlasmaSource	O	O	O	O
(silent	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
discharges)	O	I-DischargeRegime	O	O	I-Experiment	O	O	O	O	O	O	I-PlasmaSource	O	O	O	O
are	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
used	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
on	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
large	O	O	O	O	O	O	O	O	B-PlasmaApplication	O	O	O	O	O	O	O
industrial	O	O	O	O	O	O	O	O	I-PlasmaApplication	B-PlasmaMedium	O	O	O	O	O	O
scale.	O	O	O	O	O	O	O	O	I-PlasmaApplication	O	O	O	O	O	O	O

They	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
combine	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
adûantages	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
non-equilibrium	O	O	O	O	O	B-Modelling	O	O	O	O	B-PlasmaProperties	O	O	O	O	O
plasma	O	O	O	O	O	I-Modelling	B-PhysicalEffect	O	O	O	I-PlasmaProperties	O	O	O	O	O
properties	O	O	O	O	O	I-Modelling	O	O	O	O	I-PlasmaProperties	O	O	O	O	O
with	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
ease	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
atmospheric-pressure	O	B-DischargeRegime	O	O	O	O	O	O	B-PlasmaApplication	B-PlasmaMedium	B-PlasmaProperties	B-PlasmaSource	O	O	O	O
operation.	O	O	O	O	O	O	O	O	I-PlasmaApplication	O	O	O	O	O	O	O

A	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
prominent	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
feature	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
simple	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
scalability	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
from	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
small	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
laboratory	B-DiagnosticDevice	O	O	O	B-Experiment	O	O	O	O	O	O	B-PlasmaSource	O	O	O	O
reactors	I-DiagnosticDevice	O	O	O	I-Experiment	O	O	O	O	O	O	I-PlasmaSource	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
large	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
industrial	O	O	O	O	B-Experiment	O	O	O	B-PlasmaApplication	O	O	O	O	O	O	O
installations	O	O	O	O	I-Experiment	O	O	O	I-PlasmaApplication	O	O	O	O	O	O	O
with	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
megawatt	O	O	O	O	O	B-Modelling	O	O	O	O	O	O	O	B-Unit	B-PowerSupply	O
input	O	O	O	O	O	I-Modelling	O	B-PhysicalQuantity	O	O	O	O	O	O	I-PowerSupply	O
powers.	O	O	O	O	O	I-Modelling	O	I-PhysicalQuantity	O	O	O	O	O	O	I-PowerSupply	O

Efficient	O	O	O	O	O	B-Modelling	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
cost-effectiûe	O	O	O	O	O	B-Modelling	O	O	O	O	O	O	O	O	O	O
all-solid-state	O	O	O	O	O	O	O	O	O	O	B-PlasmaProperties	O	O	O	O	O
power	I-DiagnosticDevice	O	O	O	O	I-Modelling	O	B-PhysicalQuantity	I-PlasmaApplication	B-PlasmaMedium	O	O	O	O	I-PowerSupply	O
supplies	I-DiagnosticDevice	O	O	O	I-Experiment	I-Modelling	O	O	O	O	O	O	O	O	I-PowerSupply	O
are	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
aûailable.	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O

The	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
preferred	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
frequency	O	O	O	O	O	O	B-PhysicalEffect	B-PhysicalQuantity	O	O	O	O	O	O	B-PowerSupply	O
range	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
lies	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
between	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
1	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
kHz	O	O	O	O	O	O	O	O	O	O	O	O	O	B-Unit	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
10	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
MHz,	O	O	O	O	O	O	O	O	O	O	O	O	O	B-Unit	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
preferred	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
pressure	O	O	O	O	O	O	O	B-PhysicalQuantity	O	B-PlasmaMedium	O	O	O	O	O	O
range	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
between	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
10	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
kPa	O	O	O	O	O	O	O	O	O	O	O	O	O	B-Unit	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
