TOKEN	DiagnosticDevice	DischargeRegime	ElectrodeConfiguration	ElectrodeMaterial	Experiment	Modelling	PhysicalEffect	PhysicalQuantity	PlasmaApplication	PlasmaMedium	PlasmaProperties	PlasmaSource	PlasmaTarget	Unit	PowerSupply	Species

Abstract	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
The	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
effects	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
nitrous	O	O	O	B-ElectrodeMaterial	O	O	O	O	O	B-PlasmaMedium	B-PlasmaProperties	O	B-PlasmaTarget	O	O	B-Species
oxide	O	O	O	I-ElectrodeMaterial	O	O	O	O	O	I-PlasmaMedium	O	O	I-PlasmaTarget	O	O	I-Species
(N2O)	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
nitrogen	O	O	O	O	O	O	O	O	O	B-PlasmaMedium	O	O	O	O	O	B-Species
(N2)	O	O	O	O	O	O	O	O	O	I-PlasmaMedium	O	O	O	O	O	O
on	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
development	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
morphology	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
sinedriven	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B-PowerSupply	O
dielectric	O	O	O	O	O	O	O	O	O	O	O	B-PlasmaSource	O	O	O	O
barrier	O	O	O	O	O	O	O	O	O	O	O	I-PlasmaSource	O	O	O	O
discharges	O	O	O	O	O	O	O	O	O	O	O	I-PlasmaSource	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
single-filament	O	O	B-ElectrodeConfiguration	O	O	O	O	O	O	O	O	O	O	O	O	O
arrangement	O	O	I-ElectrodeConfiguration	O	O	O	O	O	O	O	O	O	O	O	O	O
were	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
studied.	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O

Detailed	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
insight	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
characteristics	O	O	O	O	O	O	O	O	O	O	B-PlasmaProperties	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	I-PlasmaProperties	O	O	O	O	O
discharge	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	I-PlasmaProperties	B-PlasmaSource	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
its	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
development	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
were	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
obtained	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
from	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
electrical	O	O	O	O	B-Experiment	O	O	O	B-PlasmaApplication	O	O	B-PlasmaSource	O	O	O	O
measurements	O	O	O	O	I-Experiment	O	O	O	I-PlasmaApplication	O	O	O	O	O	O	O
combined	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
with	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
ICCD	B-DiagnosticDevice	O	O	O	B-Experiment	O	O	O	B-PlasmaApplication	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
streak	B-DiagnosticDevice	O	O	O	B-Experiment	O	O	O	B-PlasmaApplication	O	O	O	O	O	O	O
camera	I-DiagnosticDevice	O	O	O	I-Experiment	O	O	O	I-PlasmaApplication	O	O	O	O	O	O	O
recordings	O	O	O	O	I-Experiment	O	O	O	O	O	O	O	O	O	O	O
as	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
well	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
as	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
numerical	O	O	O	O	O	B-Modelling	O	O	B-PlasmaApplication	O	O	O	O	O	O	O
modelling.	O	O	O	O	O	I-Modelling	O	O	I-PlasmaApplication	O	O	O	O	O	O	O

A	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
miniaturised	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
atmospheric	O	B-DischargeRegime	O	O	O	O	O	O	O	O	B-PlasmaProperties	B-PlasmaSource	O	O	O	O
pressure	O	I-DischargeRegime	O	O	I-Experiment	O	O	B-PhysicalQuantity	O	O	I-PlasmaProperties	I-PlasmaSource	O	O	O	O
Townsend	O	I-DischargeRegime	O	O	O	O	O	O	O	O	O	I-PlasmaSource	O	O	O	O
discharge	O	I-DischargeRegime	O	O	O	O	O	O	O	O	O	I-PlasmaSource	O	O	O	O
(APTD)	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
could	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
be	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
generated	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
for	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
admixtures	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
up	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
5	O	O	O	O	O	O	O	O	O	B-PlasmaMedium	O	O	O	O	O	O
vol%	O	O	O	O	O	O	O	O	O	I-PlasmaMedium	O	O	O	B-Unit	O	O
N2O	O	O	O	B-ElectrodeMaterial	O	O	O	O	O	I-PlasmaMedium	O	O	O	O	O	B-Species
in	O	O	O	O	O	O	O	O	O	I-PlasmaMedium	O	O	O	O	O	O
