TOKEN	DiagnosticDevice	DischargeRegime	ElectrodeConfiguration	ElectrodeMaterial	Experiment	Modelling	PhysicalEffect	PhysicalQuantity	PlasmaApplication	PlasmaMedium	PlasmaProperties	PlasmaSource	PlasmaTarget	Unit	PowerSupply	Species

Abstract	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
The	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
technique	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
spatially	O	O	O	O	B-Experiment	B-Modelling	O	O	O	O	O	O	O	O	O	O
resolved	O	O	O	O	I-Experiment	I-Modelling	O	O	O	O	O	O	O	O	O	O
cross-correlation	O	O	O	O	B-Experiment	I-Modelling	O	O	B-PlasmaApplication	O	O	O	O	O	O	O
spectroscopy	B-DiagnosticDevice	O	O	O	I-Experiment	I-Modelling	O	O	O	O	O	O	O	O	O	O
(CCS)	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
used	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
carry	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
out	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
diagnostic	O	O	O	O	B-Experiment	O	O	O	O	O	O	O	O	O	O	O
measurements	O	O	O	O	I-Experiment	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
barrier	O	O	O	O	O	O	O	O	O	O	O	B-PlasmaSource	O	O	O	O
discharge	O	O	I-ElectrodeConfiguration	O	O	O	O	O	O	O	O	I-PlasmaSource	O	O	O	O
(BD)	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
air	O	O	O	O	O	O	O	O	O	B-PlasmaMedium	O	O	O	O	O	O
at	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
atmospheric	O	O	O	O	O	O	O	O	O	B-PlasmaMedium	B-PlasmaProperties	O	O	O	O	O
pressure.	O	O	O	O	O	O	O	B-PhysicalQuantity	O	I-PlasmaMedium	I-PlasmaProperties	O	O	O	O	O

Quantitative	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
estimates	O	O	O	O	O	B-Modelling	O	O	O	O	O	O	O	O	O	O
for	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
electric	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	O	O	O	O	O	O
field	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O
strength	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O
E(x,	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
t)	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
for	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
relative	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	O	O	O	O	O	O
electron	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	O	O	O	O	O	O
density	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O
n	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
e	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
(x,	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
t)/n	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
max	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
e	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
are	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
derived	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
from	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
experimentally	O	O	O	O	B-Experiment	O	O	O	O	O	O	O	O	O	O	O
determined	O	O	O	O	I-Experiment	O	O	O	O	O	O	O	O	O	O	O
spatio-temporal	O	O	O	O	B-Experiment	O	O	O	O	O	B-PlasmaProperties	O	O	O	O	O
distributions	O	O	O	O	I-Experiment	O	O	O	O	O	I-PlasmaProperties	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
luminosity	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	O	O	O	O	O	O
for	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
spectral	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
bands	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0-0	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
transitions	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
second	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B-Species
positive	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	I-Species
system	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	I-Species
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
N	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B-Species
2	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	I-Species
(λ	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
=	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
337.1	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
nm)	O	O	O	O	O	O	O	O	O	O	O	O	O	B-Unit	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
