TOKEN	DiagnosticDevice	DischargeRegime	ElectrodeConfiguration	ElectrodeMaterial	Experiment	Modelling	PhysicalEffect	PhysicalQuantity	PlasmaApplication	PlasmaMedium	PlasmaProperties	PlasmaSource	PlasmaTarget	Unit	PowerSupply	Species

Abstract	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
As	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
logical	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
extension	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
previous	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
investigations	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
barrier	O	O	O	O	O	O	O	O	O	O	O	B-PlasmaSource	O	O	O	O
discharge	O	O	O	O	O	O	O	O	O	O	O	I-PlasmaSource	O	O	O	O
(BD)	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
helium	O	O	O	B-ElectrodeMaterial	O	O	O	O	O	O	O	O	B-PlasmaTarget	O	O	B-Species
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
nitrogen,	O	O	O	B-ElectrodeMaterial	O	O	O	O	O	O	O	O	B-PlasmaTarget	O	O	B-Species
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
present	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
work	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
reports	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
on	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
operation	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
any	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
mixtures	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
both	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
pure	O	O	O	O	O	O	O	O	O	B-PlasmaMedium	O	O	O	O	O	O
gases.	O	O	O	O	O	O	O	O	O	I-PlasmaMedium	O	O	O	O	O	O

Using	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
well-established	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
plane-parallel	O	O	B-ElectrodeConfiguration	O	B-Experiment	O	O	O	O	O	O	O	O	O	O	O
discharge	O	O	B-ElectrodeConfiguration	O	O	O	O	O	O	O	O	O	O	O	O	O
cell	O	O	I-ElectrodeConfiguration	O	O	O	O	O	O	O	O	O	O	O	O	O
configuration	O	O	I-ElectrodeConfiguration	O	O	O	O	O	O	O	O	O	O	O	O	O
allows	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
study	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
influence	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
He/N	O	O	O	O	O	O	O	B-PhysicalQuantity	O	B-PlasmaMedium	O	O	O	O	O	B-Species
2	O	O	O	O	O	O	O	I-PhysicalQuantity	O	I-PlasmaMedium	O	O	O	O	O	I-Species
mixing	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O
ratio	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O
on	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
formation	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
different	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
discharge	O	B-DischargeRegime	O	O	O	O	I-PhysicalEffect	O	O	O	O	B-PlasmaSource	O	O	O	O
modes.	O	I-DischargeRegime	I-ElectrodeConfiguration	O	O	O	I-PhysicalEffect	O	O	O	O	I-PlasmaSource	O	O	O	O

Their	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
characterization	O	O	O	O	O	B-Modelling	O	O	O	O	O	O	O	O	O	O
was	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
made	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
by	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
measuring	O	O	O	O	B-Experiment	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
discharge	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
emission	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	B-PlasmaProperties	O	O	O	O	O
development	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	I-PlasmaProperties	O	O	O	O	O
together	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
with	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
formation	O	O	O	O	O	O	B-PhysicalEffect	O	B-PlasmaApplication	O	O	O	O	O	O	O
and	O	O	O	O	O	O	I-PhysicalEffect	O	I-PlasmaApplication	O	O	O	O	O	O	O
decay	O	O	O	O	O	O	I-PhysicalEffect	O	I-PlasmaApplication	O	O	O	O	O	O	O
of	O	O	O	O	O	O	I-PhysicalEffect	O	I-PlasmaApplication	O	O	O	O	O	O	O
surface	O	O	O	O	O	O	I-PhysicalEffect	B-PhysicalQuantity	I-PlasmaApplication	O	O	O	O	O	O	O
