mention_id,sentence_id,paper_id,paper_title,doi,text,ner_label,schema_type,token_start,token_end
paper_001:s0001:m001,paper_001:s0001,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,dielectric barrier,ElectrodeConfiguration,Configuration,15,16
paper_001:s0001:m002,paper_001:s0001,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,N 2 O,ElectrodeMaterial,,4,6
paper_001:s0001:m003,paper_001:s0001,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,optical and electrical diagnostics,Experiment,Scientific Experiment,28,31
paper_001:s0001:m004,paper_001:s0001,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,0D modelling of the reaction kinetics.,Modelling,Scientific Study,34,39
paper_001:s0001:m005,paper_001:s0001,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,inception,PhysicalEffect,Physical Effect,10,10
paper_001:s0001:m006,paper_001:s0001,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,pressure,PhysicalQuantity,Quantity,24,24
paper_001:s0001:m007,paper_001:s0001,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,2 O admixtures,PlasmaMedium,Medium,5,7
paper_001:s0001:m008,paper_001:s0001,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,atmospheric pressure,PlasmaMedium,Medium,23,24
paper_001:s0001:m009,paper_001:s0001,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,atmospheric pressure,PlasmaProperties,Property,23,24
paper_001:s0001:m010,paper_001:s0001,paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,dielectric barrier discharges,PlasmaSource,Plasma Source,15,17
