paper_id,title,doi,citation,text_path,bio_path
paper_001,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,"Höft H, Kettlitz M, Becker M M, Brandenburg R (2019). Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure. Journal of Physics D: Applied Physics. https://doi.org/10.1088/1361-6463/ab4944",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt
paper_002,Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure,10.1088/0963-0252/22/2/025003,"Kettlitz M, Höft H, Hoder T, Weltmann K-D, Brandenburg R (2013). Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 N2 mixture at atmospheric pressure. Plasma Sources Science and Technology. https://doi.org/10.1088/0963-0252/22/2/025003",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 _N2 mixture at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Comparison of sinusoidal and pulsed-operated dielectric barrier discharges in an O2 _N2 mixture at atmospheric pressure.txt
paper_003,"Systematic investigation of the barrier discharge operation in helium, nitrogen, and mixtures - discharge development, formation and decay of surface charges",10.1088/0022-3727/47/36/365204,"Tschiersch R, Bogaczyk M, Wagner H-E (2014). Systematic investigation of the barrier discharge operation in helium, nitrogen, and mixtures - discharge development, formation and decay of surface charges. Journal of Physics D: Applied Physics. https://doi.org/10.1088/0022-3727/47/36/365204","/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Systematic investigation of the barrier discharge operation in helium, nitrogen, and mixtures - discharge development, formation and decay of surface charges.txt","/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Systematic investigation of the barrier discharge operation in helium, nitrogen, and mixtures - discharge development, formation and decay of surface charges.txt"
paper_004,Dielectric barrier discharges - progress on plasma sources and on the understanding of regimes and single filaments,10.1088/1361-6595/aa6426,Brandenburg Ronny (2017). Dielectric barrier discharges - progress on plasma sources and on the understanding of regimes and single filaments. Plasma Sources Science and Technology. https://doi.org/10.1088/1361-6595/aa6426,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Dielectric barrier discharges - progress on plasma sources and on the understanding of regimes and single filaments.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Dielectric barrier discharges - progress on plasma sources and on the understanding of regimes and single filaments.txt
paper_005,Spatio-temporally resolved spectroscopic diagnostics of the barrier discharge in air at atmospheric pressure,10.1088/0022-3727/34/21/309,"Kozlov K V, Wagner H-E, Brandenburg R, Michel P (2001). Spatio-temporally resolved spectroscopic diagnostics of the barrier discharge in air at atmospheric pressure. Journal of Physics D: Applied Physics. https://doi.org/10.1088/0022-3727/34/21/309",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Spatio-temporally resolved spectroscopic diagnostics of the barrier discharge in air at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Spatio-temporally resolved spectroscopic diagnostics of the barrier discharge in air at atmospheric pressure.txt
paper_006,The influence of negative ions in helium–oxygen barrier discharges III. Simulation of laser photodetachment and comparison with experiment,10.1088/1361-6595/aa8e1b,"Nemschokmichal Sebastian, Tschiersch Robert, Meichsner Jürgen (2017). The influence of negative ions in helium–oxygen barrier discharges III. Simulation of laser photodetachment and comparison with experiment. Plasma Sources Science and Technology. https://doi.org/10.1088/1361-6595/aa8e1b",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/The influence of negative ions in helium–oxygen barrier discharges III. Simulation of laser photodetachment and comparison with experiment.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/The influence of negative ions in helium–oxygen barrier discharges III. Simulation of laser photodetachment and comparison with experiment.txt
paper_007,On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges,10.1088/0963-0252/25/6/064002,"Höft H, Becker M M, Loffhagen D, Kettlitz M (2016). On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges. Plasma Sources Science and Technology. https://doi.org/10.1088/0963-0252/25/6/064002",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/On the influence of high voltage slope steepness on breakdown and development of pulsed dielectric barrier discharges.txt
paper_008,The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment,10.1088/0963-0252/25/2/025004,"Tschiersch R, Nemschokmichal S, Meichsner J (2016). The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment. Plasma Sources Science and Technology. https://doi.org/10.1088/0963-0252/25/2/025004",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/The influence of negative ions in helium–oxygen barrier discharges I. Laser photodetachment experiment.txt
paper_009,The bidirectional character of O2 concentration in pulsed dielectric barrier discharges in O2-N2 gas mixtures,10.1007/978-3-662-04158-1_14,"Capitelli Mario, Ferreira Carlos M., Gordiets Boris F., Osipov Alexey I. (2000). The bidirectional character of O2 concentration in pulsed dielectric barrier discharges in O2-N2 gas mixtures. Springer Series on Atomic, Optical, and Plasma Physics. https://doi.org/10.1007/978-3-662-04158-1_14",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/The bidirectional character of O2 concentration in pulsed dielectric barrier discharges in O2-N2 gas mixtures.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/The bidirectional character of O2 concentration in pulsed dielectric barrier discharges in O2-N2 gas mixtures.txt
paper_010,The influence of O2 content on the spatio-temporal development of pulsed driven dielectric barrier discharge in O2-N2 gas mixtures,10.1007/s11090-014-9578-5,"Abdelaziz Ayman A., Seto Takafumi, Abdel-Salam M., Otani Yoshio (2014). The influence of O2 content on the spatio-temporal development of pulsed driven dielectric barrier discharge in O2-N2 gas mixtures. Plasma Chemistry and Plasma Processing. https://doi.org/10.1007/s11090-014-9578-5",/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/The influence of O2 content on the spatio-temporal development of pulsed driven dielectric barrier discharge in O2-N2 gas mixtures.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/The influence of O2 content on the spatio-temporal development of pulsed driven dielectric barrier discharge in O2-N2 gas mixtures.txt
