subject,predicate,object,is_bridged,inherited_from
Plasma,generated by,Plasma Source,,
Plasma Source,[Plasma Source] uses [Medium],Medium,,
Plasma Source,generates,Plasma,,
Quantity,[Quantitative Descriptor] has [Unit],Unit,,
Medium,[Medium] used in [Plasma Source],Plasma Source,,
Unit,unit of,Quantity,,
Scientific Experiment,hasMedium,Medium,inherited,subClassOf_ResearchActivity_hasMedium
Scientific Experiment,hasPlasmaSource,Plasma Source,inherited,subClassOf_ResearchActivity_hasPlasmaSource
Scientific Experiment,hasTarget,Target,inherited,subClassOf_ResearchActivity_hasTarget
Scientific Experiment,investigates,Physical Effect,inherited,subClassOf_ResearchActivity_investigates
Scientific Experiment,usesConfiguration,Configuration,inherited,subClassOf_ResearchActivity_usesConfiguration
Scientific Experiment,hasPlasmaSource_generates,Plasma Study,inherited,subClassOf_ResearchActivity_hasPlasmaSource_generates
Scientific Experiment,involves_MaterialEntity_hasApplicationField,Application Field,inherited,subClassOf_ResearchActivity_involves_MaterialEntity_hasApplicationField
Scientific Experiment,involves_MaterialEntity_hasProperty,Property,inherited,subClassOf_ResearchActivity_involves_MaterialEntity_hasProperty
Scientific Experiment,usesDevice_Device_measures,Quantity,inherited,subClassOf_ResearchActivity_usesDevice_Device_measures
Target,hasApplicationField,Application Field,inherited,subClassOf_MaterialEntity_hasApplicationField
Target,hasProperty,Property,inherited,subClassOf_MaterialEntity_hasProperty
Plasma Study,hasApplicationField,Application Field,inherited,subClassOf_MaterialEntity_hasApplicationField
Plasma Study,hasProperty,Property,inherited,subClassOf_MaterialEntity_hasProperty
Plasma Study,generatedBy_measures,Quantity,inherited,generatedBy_subClassOf_Device_measures
Scientific Study,hasMedium,Medium,inherited,subClassOf_ResearchActivity_hasMedium
Scientific Study,hasPlasmaSource,Plasma Source,inherited,subClassOf_ResearchActivity_hasPlasmaSource
Scientific Study,hasTarget,Target,inherited,subClassOf_ResearchActivity_hasTarget
Scientific Study,investigates,Physical Effect,inherited,subClassOf_ResearchActivity_investigates
Scientific Study,usesConfiguration,Configuration,inherited,subClassOf_ResearchActivity_usesConfiguration
Scientific Study,hasPlasmaSource_generates,Plasma Study,inherited,subClassOf_ResearchActivity_hasPlasmaSource_generates
Scientific Study,involves_MaterialEntity_hasApplicationField,Application Field,inherited,subClassOf_ResearchActivity_involves_MaterialEntity_hasApplicationField
Scientific Study,involves_MaterialEntity_hasProperty,Property,inherited,subClassOf_ResearchActivity_involves_MaterialEntity_hasProperty
Scientific Study,usesDevice_Device_measures,Quantity,inherited,subClassOf_ResearchActivity_usesDevice_Device_measures
Diagnostic Device,hasConfiguration,Configuration,inherited,subClassOf_Device_hasConfiguration
Diagnostic Device,measures,Quantity,inherited,subClassOf_Device_measures
Diagnostic Device,measures_hasUnit,Unit,inherited,subClassOf_Device_measures_hasUnit
Diagnostic Device,usedIn_ResearchActivity_hasMedium,Medium,inherited,subClassOf_Device_usedIn_ResearchActivity_hasMedium
Diagnostic Device,usedIn_ResearchActivity_hasPlasmaSource,Plasma Source,inherited,subClassOf_Device_usedIn_ResearchActivity_hasPlasmaSource
Diagnostic Device,usedIn_ResearchActivity_hasTarget,Target,inherited,subClassOf_Device_usedIn_ResearchActivity_hasTarget
Diagnostic Device,usedIn_ResearchActivity_investigates,Physical Effect,inherited,subClassOf_Device_usedIn_ResearchActivity_investigates
Diagnostic Device,usedToDiagnose_MaterialEntity_hasApplicationField,Application Field,inherited,subClassOf_Device_usedToDiagnose_MaterialEntity_hasApplicationField
Diagnostic Device,usedToDiagnose_MaterialEntity_hasProperty,Property,inherited,subClassOf_Device_usedToDiagnose_MaterialEntity_hasProperty
Plasma Source,measures,Quantity,inherited,subClassOf_Device_measures
Plasma Source,measures_hasUnit,Unit,inherited,subClassOf_Device_measures_hasUnit
