relation_id,sentence_id,paper_id,paper_title,doi,subject_mention_id,subject_text,subject_type,predicate,object_mention_id,object_text,object_type,evidence_text,relation_origin,inherited_from,confidence,accepted,support_sentence_ids,support_paragraph_id
paper_023:r0001,,paper_023,Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric,10.1088/1361-6595/acd2fc,,"time-dependent, spatially two-dimensional fluid-Poisson model",Modelling,investigated,,striations,PlasmaApplication,"Formation mechanisms of striations... investigated by means of a time-dependent, spatially two-dimensional fluid-Poisson model",,,0.95,True,,paper_023:p0001
paper_023:r0002,,paper_023,Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric,10.1088/1361-6595/acd2fc,,"time-dependent, spatially two-dimensional fluid-Poisson model",Modelling,applied_to,,one-sided DBD arrangement,ElectrodeConfiguration,The model is applied to a one-sided DBD arrangement,,,0.9,True,,paper_023:p0001
paper_023:r0003,,paper_023,Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric,10.1088/1361-6595/acd2fc,,sinusoidal high voltage,PowerSupply,applied_to,,metal electrode,ElectrodeMaterial,using a sinusoidal high voltage at the powered metal electrode,,,0.85,True,,paper_023:p0001
paper_023:r0004,,paper_023,Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric,10.1088/1361-6595/acd2fc,,transient glow phase,DischargeRegime,observed_in,,striations,PlasmaApplication,striations form in both half-periods during the transient glow phase,,,0.9,True,,paper_023:p0001
paper_023:r0005,,paper_023,Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric,10.1088/1361-6595/acd2fc,,modelling results,Modelling,show,,striated structures,PlasmaProperties,modelling results show that the distinct striated structures feature...,,,0.95,True,,paper_023:p0001
paper_023:r0006,,paper_023,Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric,10.1088/1361-6595/acd2fc,,ionisation,PhysicalEffect,causes,,disturbance of spatial distribution of charge carriers,PhysicalQuantity,causing a disturbance of the spatial distribution of charge carriers,,,0.9,True,,paper_023:p0001
paper_023:r0007,,paper_023,Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric,10.1088/1361-6595/acd2fc,,metastable argon atoms,Species,involved_in,,ionisation,PhysicalEffect,repetitive stepwise ionisation of metastable argon atoms,,,0.85,True,,paper_023:p0001
paper_023:r0008,,paper_023,Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric,10.1088/1361-6595/acd2fc,,excimers,Species,involved_in,,ionisation,PhysicalEffect,ionisation of excimers,,,0.85,True,,paper_023:p0001
paper_023:r0009,,paper_023,Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric,10.1088/1361-6595/acd2fc,,atmospheric pressure,PhysicalQuantity,characterized_by,,argon,PlasmaMedium,argon at atmospheric pressure,,,0.9,True,,paper_023:p0001
paper_023:r0010,,paper_023,Formation mechanisms of striations in a filamentary dielectric barrier discharge in atmospheric,10.1088/1361-6595/acd2fc,,dielectric barrier discharge,PlasmaSource,type_of,,single-filament DBD arrangement,ElectrodeConfiguration,single-filament dielectric barrier discharge (DBD),,,0.9,True,,paper_023:p0001
