relation_id,sentence_id,paper_id,paper_title,doi,subject_mention_id,subject_text,subject_type,predicate,object_mention_id,object_text,object_type,evidence_text,relation_origin,inherited_from,confidence,accepted,support_sentence_ids,support_paragraph_id
paper_030:r0001,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,asymmetric dielectric barrier discharges,ElectrodeConfiguration,involves,,argon,PlasmaMedium,asymmetric dielectric barrier discharges in argon,,,0.95,True,,paper_030:p0001
paper_030:r0002,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,asymmetric dielectric barrier discharges,ElectrodeConfiguration,operates_at,,atmospheric pressure,PlasmaProperties,in argon at atmospheric pressure,,,0.9,True,,paper_030:p0001
paper_030:r0003,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,discharge modes,DischargeRegime,includes,,filamentary microdischarge,DischargeRegime,the first mode appears to be the well-known filamentary microdischarge,,,0.95,True,,paper_030:p0001
paper_030:r0004,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,discharge modes,DischargeRegime,includes,,second mode,DischargeRegime,the second mode is characterized by discharge instabilities,,,0.9,True,,paper_030:p0001
paper_030:r0005,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,second mode,DischargeRegime,characterized_by,,striations,PlasmaProperties,the appearance of striations,,,0.95,True,,paper_030:p0001
paper_030:r0006,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,transition,PhysicalEffect,triggered_by,,applied voltage amplitude,PowerSupply,transition ... when the applied voltage amplitude is increased,,,0.95,True,,paper_030:p0001
paper_030:r0007,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,model calculations,Modelling,compared_with,,measurements,Experiment,comparison of the current-voltage characteristics obtained by model calculations and measurements,,,0.9,True,,paper_030:p0001
paper_030:r0008,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,ionization,PhysicalEffect,prevents,,recombination,PhysicalEffect,ionization ... prevents the total recombination of charge carriers,,,0.95,True,,paper_030:p0001
paper_030:r0009,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,memory,PhysicalEffect,causes,,mode transition,PhysicalEffect,memory ... plays an important role in mode transition,,,0.9,True,,paper_030:p0001
paper_030:r0010,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,fluid model,Modelling,employs,,model calculations,Modelling,the reliability of the employed fluid model,,,0.95,True,,paper_030:p0001
paper_030:r0011,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,dielectric barrier discharges,PlasmaSource,has_discharge_mode,,discharge modes,DischargeRegime,"different discharge modes can occur in DBDs at atmospheric pressure including diffuse, filamentary and mixed modes",,,0.95,True,,paper_030:p0002
paper_030:r0012,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,discharge modes,DischargeRegime,depends_on,,amplitude and frequency of the applied voltage,PowerSupply,the mentioned discharge modes occur in dependence on ... amplitude and frequency of the applied voltage,,,0.9,True,,paper_030:p0002
paper_030:r0013,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,discharge modes,DischargeRegime,depends_on,,gas composition,PlasmaMedium,the mentioned discharge modes occur in dependence on ... gas composition,,,0.9,True,,paper_030:p0002
paper_030:r0014,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,dielectric barrier discharges,PlasmaSource,involves,,formation of structures,PhysicalEffect,the formation of structures and instabilities as well as the study of volume and surface processes is an issue of high complexity,,,0.85,True,,paper_030:p0002
paper_030:r0015,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,dielectric barrier discharges,PlasmaSource,involves,,instabilities,PhysicalEffect,the formation of structures and instabilities as well as the study of volume and surface processes is an issue of high complexity,,,0.85,True,,paper_030:p0002
paper_030:r0016,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,atmospheric pressure Townsend discharge,DischargeRegime,is_type_of,,diffuse modes,DischargeRegime,"Two different diffuse modes can occur, namely, the atmospheric pressure Townsend discharge and the atmospheric pressure glow discharge",,,0.9,True,,paper_030:p0002
paper_030:r0017,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,argon,Species,is_medium_of,,discharge modes,DischargeRegime,the alternate occurrence of two different discharge modes in a DBD in atmospheric pressure argon has been observed experimentally,,,0.85,True,,paper_030:p0002
paper_030:r0018,,paper_030,Analysis of microdischarges in asymmetric dielectric barrier discharges in argon,10.1088/0022-3727/46/35/355203,,observed,Experiment,observes,,striated microdischarges,PlasmaProperties,the alternate occurrence of two different discharge modes in a DBD in atmospheric pressure argon has been observed experimentally,,,0.9,True,,paper_030:p0002
