sentence_id,paper_id,sentence_index,paper_title,doi,source_text_path,source_bio_path,text
paper_001:s0001,paper_001,1,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,Abstract The impact of N 2 O admixtures on the inception and development of pulsed dielectric barrier discharges (DBDs) in N 2 at atmospheric pressure is studied using optical and electrical diagnostics supported by 0D modelling of the reaction kinetics.
paper_001:s0002,paper_001,2,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,The N 2 O concentration in the N 2 -N 2 O gas mixture was varied between virtually pure N 2 and 10 vol% N 2 O.
paper_001:s0003,paper_001,3,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,A significant impact of N 2 O on the discharge characteristics was found for concentrations above 1000 ppm.
paper_001:s0004,paper_001,4,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,"In particular, a decrease of the transferred charge, and discharge energy and an increase of breakdown voltage, maximal discharge current, discharge emission diameter and velocity of the cathode-directed ionisation front (positive streamer) were observed."
paper_001:s0005,paper_001,5,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,"Additionally, a strong increase of breakdown voltage and discharge inception jitter accompanied by a decrease of the emission duration was found for N 2 O concentrations above 1 vol%."
paper_001:s0006,paper_001,6,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,The modelling results indicate that for N 2 O concentrations in this range a transition from an electropositive to an electronegative regime takes place.
paper_001:s0007,paper_001,7,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,"Introduction Morphology and peculiarities of dielectric barrier discharges (DBDs) are determined by several external parameters like discharge configuration, gas composition and electric control [1][2][3]."
paper_001:s0008,paper_001,8,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,"Generally, two different discharge regimes, namely filamentary and diffuse (or uniform) are known [4,5]."
paper_001:s0009,paper_001,9,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,"Avoiding filamentation, i.e."
paper_001:s0010,paper_001,10,Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure,10.1088/1361-6463/ab4944,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/txt_files/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,/home/student/Kalp/SELC_Projects/Jainam_NER/Annotation_Platform/data/bio_extracted_entites_txts/Impact of N2O admixture on the characteristics of pulsed dielectric barrier discharges in N2 at atmospheric pressure.txt,"the formation of constricted discharge channels, to generate a diffuse DBD is interesting for homogeneous surface treatment at atmospheric pressure, i.e."
