source,relation,target,source_type,target_type
kV,unit_of,breakdown,Unit,Quantity
experimental results,usesDevice_Device_measures,pressure,Scientific Experiment,Quantity
high voltage probe,usedToDiagnose_MaterialEntity_hasApplicationField,anti -icing,Diagnostic Device,Application Field
plasma density,hasApplicationField,activation,Plasma Study,Application Field
optical emission spectroscopy,usesDevice_Device_measures,density of excited species,Scientific Experiment,Quantity
gas supply unit,usedIn_ResearchActivity_hasPlasmaSource,high -frequency,Diagnostic Device,Plasma Source
breakdown properties,generatedBy_measures,residual charges,Plasma Study,Quantity
ps,unit_of,time scales,Unit,Quantity
gas discharges,measures,atmospheric pressure,Plasma Source,Quantity
iCCD,usedIn_ResearchActivity_investigates,spatial jitter,Diagnostic Device,Physical Effect
Torr,unit_of,surface charges,Unit,Quantity
MDs,uses,binary gas mixtures,Plasma Source,Medium
measured,usesConfiguration,electrode geometry,Scientific Experiment,Configuration
CVD reaction chamber,usedIn_ResearchActivity_investigates,plasma polymerization,Diagnostic Device,Physical Effect
cathode fall region,generatedBy_measures,time,Plasma Study,Quantity
measured data,investigates,conversion,Scientific Experiment,Physical Effect
time,hasUnit,ns,Quantity,Unit
visualize the weak emission,usesDevice_Device_measures,signal intensity,Scientific Experiment,Quantity
laser photodesorption,investigates,thermally desorbed,Scientific Experiment,Physical Effect
ICCD camera,measures_hasUnit,ns,Diagnostic Device,Unit
plasma generator,measures,relative permittivity,Plasma Source,Quantity
O 2 concentration,hasUnit,ppm,Quantity,Unit
compute server,measures_hasUnit,GB,Diagnostic Device,Unit
particle source,measures,duration,Diagnostic Device,Quantity
measurement of a very weak light intensity,usesDevice_Device_measures,light intensity,Scientific Experiment,Quantity
electrical diagnostics,usesDevice_Device_measures,voltage,Scientific Experiment,Quantity
impedance,measures,-frequency,Diagnostic Device,Quantity
ICCD gate,usesDevice_Device_measures,gap voltage,Scientific Experiment,Quantity
microdischarges,uses,N 2 O 2 mixtures,Plasma Source,Medium
APTDs,measures,frequency,Plasma Source,Quantity
accumulated negative charges,hasUnit,eV,Quantity,Unit
BD,measures_hasUnit,ppm,Plasma Source,Unit
vessel,usedIn_ResearchActivity_hasMedium,gas flow,Diagnostic Device,Medium
measured CO 2 conversion,usesDevice_Device_measures,specific energy input,Scientific Experiment,Quantity
axially and radially resolved,usesDevice_Device_measures,E N,Scientific Experiment,Quantity
DBDs,measures_hasUnit,V ns 1,Plasma Source,Unit
propagation velocity,hasUnit,kV,Quantity,Unit
vibrational temperature,hasUnit,K,Quantity,Unit
electrical measurements,usesDevice_Device_measures,delay,Scientific Experiment,Quantity
plasma generating chamber,usedIn_ResearchActivity_hasMedium,supplying gas,Diagnostic Device,Medium
measured,investigates,streamerlike breakdown,Scientific Experiment,Physical Effect
rate coefficient,hasUnit,cm 3 s 1,Quantity,Unit
potential,generatedBy_measures,pressure,Plasma Study,Quantity
MagneLab CT F2 5 BNC,measures_hasUnit,MHz,Diagnostic Device,Unit
voltage,hasUnit,GS s,Quantity,Unit
current pulse measurements,hasPlasmaSource_generates,two dimensional structure,Scientific Experiment,Plasma Study
DBDs,measures,electrical current,Plasma Source,Quantity
vol,unit_of,periods,Unit,Quantity
SEE coefficient,hasUnit,cm,Quantity,Unit
semiconductor,usedIn_ResearchActivity_hasMedium,water,Diagnostic Device,Medium
bar,unit_of,ion recombination rate,Unit,Quantity
cathode,usedIn_ResearchActivity_hasPlasmaSource,hollow cathode,Diagnostic Device,Plasma Source
accelerator,usedIn_ResearchActivity_investigates,radiation,Diagnostic Device,Physical Effect
frequency,hasUnit,K,Quantity,Unit
applicator,usedToDiagnose_MaterialEntity_hasApplicationField,CVD,Diagnostic Device,Application Field
streak camera,usedIn_ResearchActivity_hasPlasmaSource,microdischarges,Diagnostic Device,Plasma Source
ICCD,measures,electrostatic field geometry,Diagnostic Device,Quantity
high -frequency,generatedBy_measures,power,Plasma Study,Quantity
CCS,usesDevice_Device_measures,luminosity,Scientific Experiment,Quantity
cooling waist,usedIn_ResearchActivity_hasPlasmaSource,nozzle,Diagnostic Device,Plasma Source
USQF,usedIn_ResearchActivity_investigates,uniformly spaced quadrupole focusing,Diagnostic Device,Physical Effect
discharge current,hasUnit,nanoseconds,Quantity,Unit
electrode,usedToDiagnose_MaterialEntity_hasApplicationField,etching,Diagnostic Device,Application Field
inductance,usedIn_ResearchActivity_hasPlasmaSource,arc torch,Diagnostic Device,Plasma Source
device,measures,flow,Diagnostic Device,Quantity
short lifetime of helium metastables,hasUnit,ppm,Quantity,Unit
development and spatial distribution,generatedBy_measures,polarity,Plasma Study,Quantity
tube,usedIn_ResearchActivity_hasPlasmaSource,electrical,Diagnostic Device,Plasma Source
oscillator,usedIn_ResearchActivity_hasPlasmaSource,RF,Diagnostic Device,Plasma Source
experimental data,usesDevice_Device_measures,time scale,Scientific Experiment,Quantity
process chamber,usedIn_ResearchActivity_investigates,electron cyclotron resonance,Diagnostic Device,Physical Effect
10 vol O 2,used_in,dielectric barrier discharges,Medium,Plasma Source
diameter,hasUnit,ppm,Quantity,Unit
anode,usedIn_ResearchActivity_investigates,acceleration,Diagnostic Device,Physical Effect
fast ICCD camera,usedIn_ResearchActivity_hasPlasmaSource,DBDs,Diagnostic Device,Plasma Source
central circuit board,measures,power,Diagnostic Device,Quantity
magnets,measures,magnetic field,Diagnostic Device,Quantity
measured,usesConfiguration,powered electrode,Scientific Experiment,Configuration
Non thermal,generatedBy_measures,pressure,Plasma Study,Quantity
ion neutralizer,measures,electric charges,Diagnostic Device,Quantity
μs,unit_of,surface charges,Unit,Quantity
temporal resolution,usesDevice_Device_measures,time scale,Scientific Experiment,Quantity
pause times,hasUnit,subµs,Quantity,Unit
irradiance,hasUnit,V,Quantity,Unit
vapor gas jet,usedIn_ResearchActivity_hasPlasmaSource,hollow cathode,Diagnostic Device,Plasma Source
pressure,hasUnit,sccm,Quantity,Unit
resolution,hasPlasmaSource,coplanar DBD,Scientific Experiment,Plasma Source
treatment chamber,usedToDiagnose_MaterialEntity_hasApplicationField,plasma etching,Diagnostic Device,Application Field
ICCD camera,measures_hasUnit,bar,Diagnostic Device,Unit
vacuum equipment,involves_MaterialEntity_hasApplicationField,biology,Scientific Experiment,Application Field
laser is fired,investigates,breakdown characteristics,Scientific Experiment,Physical Effect
electrical and optical diagnostics,hasMedium,gas mixture,Scientific Experiment,Medium
Quanta Ray GCR 130,measures_hasUnit,mJ,Diagnostic Device,Unit
laser,investigates,photodetachment,Scientific Experiment,Physical Effect
SDBDs,measures,velocities,Plasma Source,Quantity
TC SPC,usedIn_ResearchActivity_hasPlasmaSource,MD,Diagnostic Device,Plasma Source
kW,unit_of,output powers,Unit,Quantity
atmospheric pressure,used_in,Dielectric barrier discharges,Medium,Plasma Source
electromagnetic wave launcher,usedIn_ResearchActivity_hasPlasmaSource,surface wave plasma source,Diagnostic Device,Plasma Source
MKS 1259 CC,measures,pressure,Diagnostic Device,Quantity
field emitter,usedIn_ResearchActivity_hasPlasmaSource,ion source chamber,Diagnostic Device,Plasma Source
electrical quantities,hasMedium,0 1 and 10 vol N 2 O in N 2,Scientific Experiment,Medium
vapor gas jet,usedIn_ResearchActivity_investigates,deformation,Diagnostic Device,Physical Effect
hot,generatedBy_measures,velocity,Plasma Study,Quantity
APTD,uses,nitrogen admixture,Plasma Source,Medium
N 2 O concentrations in N 2 up to 10 vol,used_in,DBDs,Medium,Plasma Source
barrier discharges,measures,discharge volume,Plasma Source,Quantity
transferred charge,hasUnit,ns,Quantity,Unit
streak like image,hasPlasmaSource_generates,discharge development,Scientific Experiment,Plasma Study
kV,unit_of,current voltage,Unit,Quantity
plasma torch,measures,current,Plasma Source,Quantity
chamber,usedToDiagnose_MaterialEntity_hasApplicationField,polymer adhesion,Diagnostic Device,Application Field
Air,used_in,microdischarge,Medium,Plasma Source
atmospheric pressure Townsend discharge,measures_hasUnit,kV pp,Plasma Source,Unit
power source,usedToDiagnose_MaterialEntity_hasApplicationField,etching,Diagnostic Device,Application Field
modification device,measures,angle range,Diagnostic Device,Quantity
kV,unit_of,voltage amplitudes,Unit,Quantity
combustion temperature sensor,measures,energy,Diagnostic Device,Quantity
MKS 1259 CC,usedIn_ResearchActivity_hasMedium,flowing gas,Diagnostic Device,Medium
ns,unit_of,N 2 O concentrations,Unit,Quantity
laser firing,hasMedium,oxygen admixture,Scientific Experiment,Medium
reaction chamber,usedIn_ResearchActivity_hasPlasmaSource,high frequency,Diagnostic Device,Plasma Source
observed,hasMedium,helium,Scientific Experiment,Medium
MDs,measures,half cycles,Plasma Source,Quantity
cathode,measures,magnetic field,Diagnostic Device,Quantity
gas gap distance,hasUnit,mm,Quantity,Unit
MD,measures,voltage amplitude,Plasma Source,Quantity
camera,measures_hasUnit,ns,Diagnostic Device,Unit
laser beam profile,usesDevice_Device_measures,laser pulse energy,Scientific Experiment,Quantity
laser photodesorption,usesDevice_Device_measures,discharge current,Scientific Experiment,Quantity
antenna assembly,usedToDiagnose_MaterialEntity_hasApplicationField,plasma processing,Diagnostic Device,Application Field
BDs,measures_hasUnit,kHz range,Plasma Source,Unit
depressurizable processing chamber,usedIn_ResearchActivity_hasPlasmaSource,high frequency power supply,Diagnostic Device,Plasma Source
kV,unit_of,gas density,Unit,Quantity
plasma reactor,measures,low temperature,Diagnostic Device,Quantity
laser,usedIn_ResearchActivity_investigates,quantum mechanical state,Diagnostic Device,Physical Effect
ppm,unit_of,density of helium dimers,Unit,Quantity
power supply,usedIn_ResearchActivity_hasPlasmaSource,discharge,Diagnostic Device,Plasma Source
electromagnetic mechanical pulser,measures,velocity,Diagnostic Device,Quantity
optical fibers,usedIn_ResearchActivity_hasPlasmaSource,microwave,Diagnostic Device,Plasma Source
fast optical and electrical,hasPlasmaSource,barrier discharges,Scientific Experiment,Plasma Source
electrode tubes,measures,voltage,Diagnostic Device,Quantity
accumulated streak image,usesConfiguration,gap centre,Scientific Experiment,Configuration
ns,unit_of,plasma current,Unit,Quantity
observed,usesDevice_Device_measures,electric field strength,Scientific Experiment,Quantity
discharge development,generatedBy_measures,discharge current,Plasma Study,Quantity
MFCs,usedIn_ResearchActivity_hasMedium,gas purity of 5 0,Diagnostic Device,Medium
electrical,measures,field,Plasma Source,Quantity
diameter,hasUnit,μs,Quantity,Unit
high -frequency,measures,power,Diagnostic Device,Quantity
digital signal processor,usedToDiagnose_MaterialEntity_hasApplicationField,Sterilization,Diagnostic Device,Application Field
operating conditions,measures,electric field,Plasma Source,Quantity
MDs,measures,voltage half period,Plasma Source,Quantity
DC,measures,temperature,Plasma Source,Quantity
adjustable operators,usedIn_ResearchActivity_hasPlasmaSource,plasma arc torches,Diagnostic Device,Plasma Source
etch performance,hasApplicationField,plasma etching,Plasma Study,Application Field
delay,hasUnit,μs,Quantity,Unit
BDs,uses,nitrogen,Plasma Source,Medium
variable resistor R,measures,gap capacitor,Diagnostic Device,Quantity
oscillator,measures,frequency,Diagnostic Device,Quantity
voltage probes,measures_hasUnit,GHz,Diagnostic Device,Unit
arc,measures,pressure,Plasma Source,Quantity
UV and visible spectral range,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
streak camera,measures,duration,Diagnostic Device,Quantity
ms,unit_of,time scales,Unit,Quantity
observed,usesDevice_Device_measures,charge carriers,Scientific Experiment,Quantity
positive pulsed corona discharge,uses,O 2 in N 2,Plasma Source,Medium
electrodes,usedIn_ResearchActivity_investigates,discharges,Diagnostic Device,Physical Effect
electrical quantities,usesDevice_Device_measures,dissipated plasma energy,Scientific Experiment,Quantity
single shot,usesDevice_Device_measures,current,Scientific Experiment,Quantity
E n,hasUnit,Td,Quantity,Unit
capacitive coupling,measures,RF power,Plasma Source,Quantity
air,used_in,barrier discharges,Medium,Plasma Source
core tube,usedIn_ResearchActivity_hasPlasmaSource,gas discharge,Diagnostic Device,Plasma Source
control measurements,investigates,photodetachment,Scientific Experiment,Physical Effect
experimental data,usesDevice_Device_measures,yields,Scientific Experiment,Quantity
translation device,measures,incidence angle,Diagnostic Device,Quantity
thermal,generatedBy_measures,rate,Plasma Study,Quantity
iCCD,usedIn_ResearchActivity_hasPlasmaSource,MDs,Diagnostic Device,Plasma Source
nm,unit_of,voltage amplitude,Unit,Quantity
device,usedIn_ResearchActivity_hasPlasmaSource,abnormal discharge,Diagnostic Device,Plasma Source
MKS 1259 CC,measures_hasUnit,ppm,Diagnostic Device,Unit
capture the front view photographs,involves_MaterialEntity_hasApplicationField,conductive coating,Scientific Experiment,Application Field
spatio temporal structures,generatedBy_measures,luminosity,Plasma Study,Quantity
charge carriers per unit of time,unit_of,discharge current maximum,Unit,Quantity
gas supply,usedIn_ResearchActivity_hasMedium,supplying gas,Diagnostic Device,Medium
plasma generating device,usedIn_ResearchActivity_investigates,ECR,Diagnostic Device,Physical Effect
mass flow controllers,measures,mass flow,Diagnostic Device,Quantity
laterally homogeneous,generatedBy_measures,voltage,Plasma Study,Quantity
steady state,generatedBy_measures,surface charges,Plasma Study,Quantity
plasmadynamic converter,measures,field,Diagnostic Device,Quantity
electrical quantities,hasPlasmaSource_generates,emission structure,Scientific Experiment,Plasma Study
experimental results,investigates,CO 2 dissociation,Scientific Experiment,Physical Effect
electrical characteristics,hasMedium,nitrogen oxygen mixture,Scientific Experiment,Medium
electron density,hasUnit,s,Quantity,Unit
PI MAX Princeton Instruments,measures,time,Diagnostic Device,Quantity
fluid chamber,usedIn_ResearchActivity_hasPlasmaSource,torch,Diagnostic Device,Plasma Source
micro and millisecond,unit_of,time scale,Unit,Quantity
back illumination,usesDevice_Device_measures,periods,Scientific Experiment,Quantity
multiple -cavity accelerator,measures,frequencies,Plasma Source,Quantity
impedance,generatedBy_measures,impedance,Plasma Study,Quantity
particle densities,hasUnit,cm,Quantity,Unit
apparatus,usedToDiagnose_MaterialEntity_hasApplicationField,plasma CVD,Diagnostic Device,Application Field
nC,unit_of,deposited surface charge,Unit,Quantity
pure CO 2,used_in,rf discharges,Medium,Plasma Source
electrodes,usedIn_ResearchActivity_hasPlasmaSource,plasma torch,Diagnostic Device,Plasma Source
spatio temporal DBD development i a,usesDevice_Device_measures,propagation velocity,Scientific Experiment,Quantity
CCS,measures,pressure,Diagnostic Device,Quantity
supply unit,usedIn_ResearchActivity_hasPlasmaSource,microwave,Diagnostic Device,Plasma Source
waveguide portion,usedIn_ResearchActivity_investigates,electron heating,Diagnostic Device,Physical Effect
N 2 O admixtures,used_in,DBDs,Medium,Plasma Source
experimentally observed,usesDevice_Device_measures,gas temperature,Scientific Experiment,Quantity
experimental results,investigates,electron desorption,Scientific Experiment,Physical Effect
digital sampling oscilloscope,measures,voltage,Diagnostic Device,Quantity
power source,usedToDiagnose_MaterialEntity_hasApplicationField,plasma treatment,Diagnostic Device,Application Field
inductive coil,usedIn_ResearchActivity_hasPlasmaSource,RF,Diagnostic Device,Plasma Source
helicon wave plasma source,measures,weight,Plasma Source,Quantity
current probe,measures,diameter,Diagnostic Device,Quantity
electrical and optical measurements,hasPlasmaSource,gas discharges,Scientific Experiment,Plasma Source
Experimental results,usesDevice_Device_measures,time scale,Scientific Experiment,Quantity
potential,generatedBy_measures,Electric current,Plasma Study,Quantity
measuring accuracy,hasMedium,O 2 admixtures,Scientific Experiment,Medium
electron density,hasUnit,ppm,Quantity,Unit
high frequency,measures,plasma density,Plasma Source,Quantity
frequency,hasUnit,nanosecond,Quantity,Unit
mA,unit_of,displacement current,Unit,Quantity
atmospheric pressure,measures,pressure,Plasma Source,Quantity
process chamber,measures,magnetic field,Diagnostic Device,Quantity
Electrical behavior and characterization,usesDevice_Device_measures,frequency,Scientific Experiment,Quantity
